"","gene","len"
"826","SPAC30C2.02",1.414
"827","SPAC29B12.04",1.303
"828","SPAC222.05c",2.095
"829","SPBC24C6.08c",2.877
"830","SPAC16E8.04c",1.455
"831","SPAC19G12.15c",2.917
"832","SPAC3G6.02",0.799
"833","SPCC1682.10",1.419
"834","SPAC3A12.09c",1.996
"835","SPBC1604.10",0.783
"836","SPCC16A11.07",1.795
"837","SPBC609.01",5.76
"838","SPAC589.05c",1.586
"839","SPAC688.09",1.927
"840","SPCC736.15",2.474
"841","SPCC1223.07c",1.942
"842","SPBC3E7.06c",2.207
"843","SPAC12B10.05",2.213
"844","SPAC3C7.06c",3.085
"845","SPBC21.03c",3.483
"846","SPBC3D6.08c",0.796
"847","SPBC530.02",1.852
"848","SPBC543.06c",1.644
"849","SPAC22E12.02",2.2
"850","SPBC1198.07c",2.196
"851","SPAC4A8.15c",0.559
"852","SPNCRNA.1055",1.432
"853","SPAC6F12.17",2.545
"854","SPBC16G5.15c",3.39
"855","SPAC29E6.02",5.758
"856","SPAC6G9.08",2.659
"857","SPAC30C2.04",1.531
"858","SPMITTRNAPHE.01",0.072
"859","SPBC26H8.03",3.199
"860","SPAC1142.04",2.376
"861","SPAC589.03c",0.984
"862","SPNCRNA.1189",2.073
"863","SPNCRNA.491",0.424
"864","SPBC28F2.02",1.34
"865","SPAC2G11.06",1.744
"866","SPAC1805.12c",0.745
"867","SPAC1D4.08",1.76
"868","SPBC25B2.11",1.615
"869","SPAC13D6.05",1.082
"870","SPBC19F5.05c",2.295
"871","SPCC290.03c",5.587
"872","SPBC56F2.14",0.441
"873","SPBC12D12.07c",1.221
"874","SPBC19C2.14",1.857
"875","SPSNORNA.37",0.167
"876","SPCC1450.13c",1.09
"877","SPAC31A2.02",0.997
"878","SPNCRNA.659",1.901
"879","SPSNORNA.05",0.088
"880","SPAC25H1.06",1.653
"881","SPAC637.11",2.626
"882","SPMITTRNAARG.02",0.073
"883","SPAC20G4.03c",2.738
"884","SPBC1709.05",2.165
"885","SPBC8D2.17",2.133
"886","SPBC1709.17",3.358
"887","SPAC13C5.07",4.811
"888","SPBC1709.14",1.675
"889","SPAC5D6.12",3.383
"890","SPBC1703.14c",2.86
"891","SPBC146.06c",2.884
"892","SPNCRNA.59",0.337
"893","SPAPB1E7.05",3.862
"894","SPAC458.02c",1.884
"895","SPBC577.12",2.369
"896","SPBC15D4.15",1.043
"897","SPCC18.05c",1.867
"898","SPBC16E9.19",2.183
"899","SPAC1782.12c",1.911
"900","SPBC4C3.05c",5.424
"901","SPBC56F2.12",1.519
"902","SPNCRNA.1026",3.205
"903","SPBPB2B2.09c",1.536
"904","SPBC577.10",1.297
"905","SPAC17H9.12c",1.136
"906","SPBC1683.01",3.923
"907","SPBC2G2.12",1.75
"908","SPAC10F6.01c",5.175
"909","SPAC3C7.10",1.468
"910","SPAC22F8.12c",3.425
"911","SPBC3D6.04c",2.221
"912","SPAC24B11.06c",1.569
"913","SPCC613.12c",2.6
"914","SPCC16C4.20c",0.525
"915","SPAC9E9.07c",1.849
"916","SPAC732.02c",1.937
"917","SPNCRNA.740",0.579
"918","SPCC777.07",3.478
"919","SPAC17H9.06c",2.87
"920","SPBC18H10.20c",2.081
"921","SPAC24C9.12c",1.871
"922","SPBC649.02",0.738
"923","SPAC3A12.04c",0.866
"924","SPNCRNA.103",0.667
"925","SPBC8E4.01c",2.076
"926","SPCC16C4.13c",0.602
"927","SPCC1442.06",2.374
"928","SPAC29A4.15",1.684
"929","SPBC146.09c",3.289
"930","SPAC14C4.11",2.936
"931","SPCC576.07",1.875
"932","SPBC1289.09",1.153
"933","SPAC12B10.01c",5.352
"934","SPBC21H7.04",2.246
"935","SPCC613.09",2.191
"936","SPAC4F8.07c",3.051
"937","SPNCRNA.1286",2.856
"938","SPCC188.08c",3.923
"939","SPNCRNA.1639",0.91
"940","SPCC825.05c",1.794
"941","SPCC965.05c",1.282
"942","SPNCRNA.1001",1.6
"943","SPCC737.09c",2.952
"944","SPCC18B5.01c",6.134
"945","SPAC30D11.03",2.514
"946","SPAC1071.01c",2.61
"947","SPCC1183.07",5.525
"948","SPBC11C11.08",1.727
"949","SPAC3F10.03",2.319
"950","SPAC23C4.03",1.697
"951","SPAC29E6.03c",3.349
"952","SPAC4G8.08",1.322
"953","SPBC543.03c",2.445
"954","SPNCRNA.1504",1.01
"955","SPBC29A3.04",0.948
"956","SPCC16A11.05c",0.925
"957","SPBC4.04c",2.997
"958","SPNCRNA.1458",1.189
"959","SPBC887.03c",2.676
"960","SPAC3H5.07",1.399
"961","SPNCRNA.1201",0.922
"962","SPBC2G2.05",2.726
"963","SPNCRNA.293",1.067
"964","SPCC825.01",2.913
"965","SPNCRNA.530",0.153
"966","SPAC23G3.10c",3.019
"967","SPNCRNA.901",0.281
"968","SPSNORNA.43",0.144
"969","SPBC1E8.02",3.226
"970","SPBP8B7.32",4.238
"971","SPBC30B4.06c",2.253
"972","SPCC338.04",0.682
"973","SPBC17F3.02",2.429
"974","SPMITTRNALEU.01",0.083
"975","SPCC1682.06",1.577
"976","SPBC3E7.15c",3.284
"977","SPNCRNA.268",0.392
"978","SPAC11E3.08c",1.746
"979","SPBC3B9.01",1.272
"980","SPNCRNA.1653",1.595
"981","SPAC6B12.14c",1.971
"982","SPBC1734.16c",5.656
"983","SPAC14C4.02c",4.081
"984","SPBC16A3.08c",1.581
"985","SPAC3F10.08c",1.324
"986","SPAC227.19c",0.369
"987","SPAC9.09",2.79
"988","SPBPB8B6.05c",1.261
"989","SPAC57A10.11c",1.756
"990","SPAC823.08c",1.766
"991","SPCC830.07c",2.019
"992","SPNCRNA.1409",1.402
"993","SPAC23D3.09",3.001
"994","SPAC8F11.09c",1.682
"995","SPAC24C9.08",2.317
"996","SPAC1A6.04c",3.184
"997","SPBC646.03",2.038
"998","SPNCRNA.1008",1.865
"999","SPBP35G2.02",4.992
"1000","SPNCRNA.445",0.653
"1001","SPBC8D2.11",1.83
"1002","SPBC409.15",1.008
"1003","SPAC11G7.04",0.627
"1004","SPAC1F3.06c",6.229
"1005","SPAC29A4.04c",1.869
"1006","SPCC777.09c",1.982
"1007","SPAC1952.07",1.712
"1008","SPAC15A10.04c",1.789
"1009","SPAPB8E5.09",1.839
"1010","SPMITTRNAASP.01",0.071
"1011","SPNCRNA.322",2.179
"1012","SPBC1683.03c",2.08
"1013","SPAC644.04",2.612
"1014","SPCC1827.02c",1.901
"1015","SPNCRNA.291",1.364
"1016","SPBC1703.05",1.448
"1017","SPNCRNA.1138",3.429
"1018","SPAC3H1.01c",2.497
"1019","SPAC1002.03c",3.227
"1020","SPAC926.08c",1.444
"1021","SPBC2A9.04c",2.901
"1022","SPBC19G7.10c",2.827
"1023","SPAC926.04c",2.6
"1024","SPBC651.12c",1.451
"1025","SPBC31A8.01c",1.475
"1026","SPAC4F10.06",1.556
"1027","SPBC18H10.14",0.898
"1028","SPAC694.06c",3.251
"1029","SPCC162.06c",1.429
"1030","SPBC17D1.05",2.131
"1031","SPNCRNA.112",0.461
"1032","SPBC1709.18",1.376
"1033","SPBC1604.09c",1.24
"1034","SPAC12G12.02",2.502
"1035","SPBC1921.05",4.865
"1036","SPAC3A11.09",3.019
"1037","SPBC14C8.16c",1.737
"1038","SPCC1919.13c",1.33
"1039","SPAC3C7.11c",2.24
"1040","SPCC553.10",1.892
"1041","SPAC23C4.06c",3.513
"1042","SPAC4H3.07c",0.784
"1043","SPNCRNA.1215",2.356
"1044","SPNCRNA.606",1.367
"1045","SPSNORNA.46",0.21
"1046","SPAC644.11c",2.47
"1047","SPAC19G12.06c",0.952
"1048","SPNCRNA.1543",1.547
"1049","SPAC17H9.04c",2.559
"1050","SPCC188.11",2.176
"1051","SPBC646.04",2.2
"1052","SPCC1235.11",1.606
"1053","SPAC1093.06c",12.946
"1054","SPAC3H5.09c",8.519
"1055","SPBPJ4664.05",1.458
"1056","SPAP27G11.06c",0.951
"1057","SPAC1782.08c",1.623
"1058","SPNCRNA.1048",0.627
"1059","SPBC21D10.09c",5.342
"1060","SPBC215.11c",1.173
"1061","SPCC1682.13",1.497
"1062","SPCC553.09c",2.488
"1063","SPAC17G8.14c",3.513
"1064","SPBC215.01",3.091
"1065","SPBC359.03c",2.466
"1066","SPAC17G8.01c",2.697
"1067","SPAC17C9.16c",2.273
"1068","SPAC3G6.11",3.732
"1069","SPCC1494.10",3.905
"1070","SPBC405.03c",1.51
"1071","SPAC1A6.09c",2.231
"1072","SPAC23A1.09",1.228
"1073","SPBC146.13c",4.23
"1074","SPBC29A10.16c",1.54
"1075","SPBC29A10.07",3.921
"1076","SPSNORNA.19",0.083
"1077","SPCC553.08c",3.511
"1078","SPBC1604.05",1.909
"1079","SPBC18H10.18c",1.272
"1080","SPCC1827.05c",1.142
"1081","SPNCRNA.1360",0.811
"1082","SPBP4H10.13",0.588
"1083","SPNCRNA.42",0.448
"1084","SPNCRNA.756",0.54
"1085","SPBC9B6.05c",1.295
"1086","SPAC1F3.09",3.308
"1087","SPNCRNA.800",0.625
"1088","SPAC17H9.13c",1.793
"1089","SPBC691.03c",3.244
"1090","SPMITTRNASER.01",0.083
"1091","SPBC1604.14c",2.934
"1092","SPAC26A3.04",0.731
"1093","SPBC26H8.12",1.736
"1094","SPBC16D10.01c",3.442
"1095","SPAC1705.02",0.612
"1096","SPAC2E1P5.05",1.906
"1097","SPCC285.16c",4.264
"1098","SPBC25H2.02",2.734
"1099","SPAC6G10.05c",3.916
"1100","SPAC19D5.04",10.097
"1101","SPAC23D3.13c",5.128
"1102","SPAC637.06",1.434
"1103","SPNCRNA.1352",1.343
"1104","SPAPB21F2.03",0.917
"1105","SPAC22E12.16c",3.275
"1106","SPBC776.01",0.374
"1107","SPMITTRNAGLU.01",0.072
"1108","SPAC26A3.05",5.33
"1109","SPBC1709.12",3.247
"1110","SPBC713.11c",1.123
"1111","SPCC285.17",2.257
"1112","SPAC4F8.12c",7.337
"1113","SPBC1826.01c",6.366
"1114","SPBC2G5.07c",2.489
"1115","SPBC27B12.12c",3.442
"1116","SPAC25H1.10c",0.523
"1117","SPBC21D10.11c",1.962
"1118","SPCC24B10.05",0.825
"1119","SPAC1952.02",0.916
"1120","SPBC2G5.05",2.463
"1121","SPAC57A7.10c",3.237
"1122","SPBC800.06",1.108
"1123","SPAC17H9.16",1.148
"1124","SPAC1782.06c",1.26
"1125","SPNCRNA.991",1.01
"1126","SPAC2F7.14c",1.356
"1127","SPAP14E8.03",1.647
"1128","SPAC31A2.10",2.129
"1129","SPBC14C8.15",3.402
"1130","SPCC736.08",3.409
"1131","SPBC19C7.07c",1.244
"1132","SPBC15C4.02",2.435
"1133","SPBC13G1.11",1.214
"1134","SPNCRNA.971",1.188
"1135","SPAC694.04c",1.561
"1136","SPCC1494.06c",2.271
"1137","SPNCRNA.1499",0.533
"1138","SPAC11D3.05",2.013
"1139","SPCC1682.01",0.846
"1140","SPAPB17E12.10c",2.384
"1141","SPCC548.06c",4.211
"1142","SPAC25H1.08c",1.325
"1143","SPAC823.14",1.658
"1144","SPAC23C4.19",3.226
"1145","SPAC16A10.08c",1.178
"1146","SPBC2G2.08",3.902
"1147","SPAC630.06c",3.501
"1148","SPBC336.11",1.74
"1149","SPCC1739.12",3.526
"1150","SPCC16C4.18c",2.672
"1151","SPAC926.06c",2.562
"1152","SPCC1393.08",3.016
"1153","SPNCRNA.774",0.769
"1154","SPAC9G1.10c",3.865
"1155","SPNCRNA.1498",1.784
"1156","SPAC144.17c",2.895
"1157","SPNCRNA.778",1.272
"1158","SPAC3H1.14",1.183
"1159","SPCC24B10.11c",1.787
"1160","SPSNORNA.01",0.082
"1161","SPAC26A3.07c",0.87
"1162","SPBC1773.16c",3.229
"1163","SPAC4A8.11c",5.76
"1164","SPBC15D4.14",2.697
"1165","SPNCRNA.1184",1.527
"1166","SPBC29A3.03c",1.891
"1167","SPAC1782.07",0.945
"1168","SPAC16A10.05c",0.734
"1169","SPAC1783.08c",0.866
"1170","SPAC22A12.03c",1.478
"1171","SPAC19G12.08",2.022
"1172","SPCC23B6.04c",3.31
"1173","SPAC6B12.09",1.189
"1174","SPAC1F5.11c",11.451
"1175","SPAC6F12.08c",2.713
"1176","SPSNORNA.23",0.101
"1177","SPBC56F2.01",1.795
"1178","SPBC1773.11c",2.79
"1179","SPCC1682.14",0.727
"1180","SPNCRNA.284",0.375
"1181","SPCC330.08",2.913
"1182","SPCC4B3.13",2.009
"1183","SPAC6B12.06c",1.451
"1184","SPBC530.05",2.74
"1185","SPAC3H1.05",2.259
"1186","SPNCRNA.1342",0.542
"1187","SPCC1919.02",1.395
"1188","SPAC1F7.11c",3.172
"1189","SPAC17A5.03",1.315
"1190","SPBC649.05",2.016
"1191","SPBC1604.25",0.856
"1192","SPAC4A8.07c",1.845
"1193","SPNCRNA.667",0.426
"1194","SPBC11B10.09",1.899
"1195","SPAC26F1.02",1.489
"1196","SPAC19A8.10",1.978
"1197","SPAC15E1.06",1.108
"1198","SPBC354.12",1.994
"1199","SPBC1347.12",1.876
"1200","SPBC83.05",2.594
"1201","SPAC343.17c",6.459
"1202","SPAC13G6.11c",1.528
"1203","SPAPB2B4.02",1.26
"1204","SPNCRNA.1070",1.251
"1205","SPCC1393.13",2.704
"1206","SPCC970.05",0.571
"1207","SPBC1198.03c",1.163
"1208","SPBC1718.03",1.032
"1209","SPBC1718.04",2.805
"1210","SPCC1322.11",0.807
"1211","SPCC794.08",2.692
"1212","SPAC3H1.11",4.086
"1213","SPAC22E12.05c",1.333
"1214","SPBC839.08c",3.317
"1215","SPAC1039.07c",1.872
"1216","SPCC1322.16",1.317
"1217","SPAC25B8.04c",1.731
"1218","SPBC365.03c",0.636
"1219","SPCC16A11.16c",1.641
"1220","SPMITTRNAGLY.01",0.072
"1221","SPBC409.14c",0.84
"1222","SPAC1093.04c",4.906
"1223","SPAC1071.08",0.529
"1224","SPBC36.12c",1.429
"1225","SPAC14C4.14",5.237
"1226","SPAC17C9.03",4.686
"1227","SPAPB24D3.08c",1.598
"1228","SPBC28F2.04c",0.643
"1229","SPAC56F8.10",2.194
"1230","SPAC922.03",1.315
"1231","SPAC11E3.01c",4.026
"1232","SPBC16E9.12c",1.459
"1233","SPBC609.05",1.937
"1234","SPAC9E9.13",1.175
"1235","SPBC947.02",3.334
"1236","SPAC31A2.09c",2.671
"1237","SPAC1B3.12c",1.14
"1238","SPAC19G12.04",1.665
"1239","SPBC713.09",1.414
"1240","SPAC167.01",3.512
"1241","SPBC557.04",3.416
"1242","SPBC12C2.06",1.779
"1243","SPBC19G7.17",2.369
"1244","SPBC1604.08c",1.932
"1245","SPCC777.13",3.079
"1246","SPCC962.04",0.749
"1247","SPNCRNA.807",1.745
"1248","SPAC13D6.02c",1.307
"1249","SPBC1734.05c",1.117
"1250","SPCC970.02",2.02
"1251","SPAC1486.04c",5.497
"1252","SPAC22A12.04c",0.699
"1253","SPBC29A3.07c",0.96
"1254","SPSNORNA.18",0.047
"1255","SPAC27D7.02c",2.754
"1256","SPAC11E3.03",1.238
"1257","SPCC1223.11",2.977
"1258","SPNCRNA.586",1.136
"1259","SPNCRNA.359",2.225
"1260","SPBC646.09c",1.746
"1261","SPBC1539.09c",2.28
"1262","SPBC11G11.04",0.855
"1263","SPNCRNA.1056",1.233
"1264","SPBC3D6.02",3.081
"1265","SPBC31E1.02c",3.894
"1266","SPBP23A10.06",1.751
"1267","SPBC646.15c",2.268
"1268","SPCC576.04",1.658
"1269","SPAC31G5.17c",1.054
"1270","SPAC343.20",2.01
"1271","SPAC144.04c",1.788
"1272","SPAC22H10.09",2.322
"1273","SPAC222.03c",0.925
"1274","SPCC306.08c",1.843
"1275","SPAC1556.01c",4.271
"1276","SPAC29E6.10c",3.705
"1277","SPCC1902.01",4.256
"1278","SPAC22F8.05",3.372
"1279","SPBC3B9.18c",0.826
"1280","SPBC31F10.17c",1.191
"1281","SPAC9G1.11c",1.688
"1282","SPCC320.14",1.979
"1283","SPNCRNA.934",2.832
"1284","SPBC1711.12",2.191
"1285","SPBC1778.07",1.379
"1286","SPBC649.04",0.791
"1287","SPNCRNA.417",0.709
"1288","SPBC887.22",1.024
"1289","SPAC1F5.10",1.718
"1290","SPBC29A10.04",4.498
"1291","SPAPB24D3.09c",4.525
"1292","SPAC18B11.06",1.268
"1293","SPAC144.07c",1.651
"1294","SPCP1E11.07c",1.242
"1295","SPAPB1A10.11c",2.115
"1296","SPAC29E6.08",1.678
"1297","SPBC2A9.02",2.187
"1298","SPBC1703.10",1.38
"1299","SPBC27B12.08",8.516
"1300","SPBC530.08",3.381
"1301","SPSNORNA.07",0.086
"1302","SPNCRNA.1049",2.773
"1303","SPBC16A3.02c",1.896
"1304","SPAC1002.14",1.679
"1305","SPCP1E11.08",1.385
"1306","SPNCRNA.58",0.447
"1307","SPAC23C4.16c",1.73
"1308","SPAC3H5.13",0.527
"1309","SPBC651.09c",2.034
"1310","SPBP4H10.04",2.268
"1311","SPNCRNA.1353",1.181
"1312","SPAC23C4.09c",2.261
"1313","SPAC17H9.08",2.677
"1314","SPAC23H4.18c",1.018
"1315","SPMITTRNAASN.01",0.071
"1316","SPAC1296.05c",1.295
"1317","SPAC26F1.12c",1.406
"1318","SPCC1919.05",5.899
"1319","SPCC736.12c",3.063
"1320","SPAC23C4.17",3.466
"1321","SPAC1805.06c",1.54
"1322","SPBC354.14c",2.408
"1323","SPAC644.17c",2.427
"1324","SPAC806.03c",0.572
"1325","SPBC1683.06c",1.871
"1326","SPCPB16A4.05c",1.633
"1327","SPBC1709.07",1.619
"1328","SPAC1296.06",2.17
"1329","SPAC2E1P5.03",2.199
"1330","SPBC17D11.08",2.019
"1331","SPBC13G1.13",1.905
"1332","SPBP4H10.06c",3.867
"1333","SPBC1703.08c",1.804
"1334","SPAC26A3.12c",4.94
"1335","SPAC1565.06c",1.472
"1336","SPAC18G6.05c",8.244
"1337","SPAC1687.18c",1.97
"1338","SPBC20F10.05",3.411
"1339","SPBPJ4664.06",4.916
"1340","SPBC12D12.02c",0.649
"1341","SPBC106.15",1.07
"1342","SPAC4C5.04",1.51
"1343","SPBC21B10.15",1.159
"1344","SPCC4G3.10c",3.009
"1345","SPAC1071.12c",0.902
"1346","SPAC1D4.13",1.928
"1347","SPAC1F5.07c",1.851
"1348","SPAC14C4.01c",4.252
"1349","SPCC594.01",5.523
"1350","SPBC12C2.05c",2.722
"1351","SPBC725.07",2.553
"1352","SPAC1F3.01",2.497
"1353","SPCC4B3.02c",1.108
"1354","SPBC17D1.02",2.027
"1355","SPAC1F7.04",2.047
"1356","SPAC30.04c",4.696
"1357","SPBC646.08c",2.189
"1358","SPAC1639.02c",3.625
"1359","SPNCRNA.939",1.062
"1360","SPAC3G6.06c",1.933
"1361","SPAC9.03c",6.856
"1362","SPBC21C3.17c",1.151
"1363","SPCC895.06",2.674
"1364","SPNCRNA.1174",1.132
"1365","SPNCRNA.1466",1.622
"1366","SPAC824.09c",1.572
"1367","SPAC12G12.06c",1.85
"1368","SPBC36B7.02",2.124
"1369","SPAC637.10c",1.212
"1370","SPMITTRNAGLN.01",0.073
"1371","SPBC18H10.12c",1.39
"1372","SPNCRNA.1334",0.749
"1373","SPBC2G5.03",1.186
"1374","SPBC1773.17c",1.365
"1375","SPBC1709.02c",3.316
"1376","SPAC25H1.07",2.947
"1377","SPAC6F6.12",1.879
"1378","SPBC23G7.05",0.783
"1379","SPAC22E12.14c",3.406
"1380","SPBC4.05",1.375
"1381","SPAC3F10.09",2.277
"1382","SPAC3A12.10",0.72
"1383","SPAC3F10.16c",2.166
"1384","SPAC20H4.01",2.474
"1385","SPAC824.07",1.305
"1386","SPCC1450.06c",0.887
"1387","SPBC17A3.01c",2.076
"1388","SPCC4B3.18",2.122
"1389","SPBC1198.06c",2.137
"1390","SPBC530.06c",3.908
"1391","SPAC644.18c",1.421
"1392","SPCC613.11c",1.096
"1393","SPAC2F7.05c",1.722
"1394","SPBC577.15c",1.981
"1395","SPAPB2B4.03",4.432
"1396","SPBC19C2.01",3.377
"1397","SPAC19A8.06",1.235
"1398","SPAC12G12.05c",1.478
"1399","SPAC3H1.12c",4.414
"1400","SPCC645.02",1.232
"1401","SPBP35G2.14",3.757
"1402","SPBC30D10.08",1.19
"1403","SPCC1919.06c",2.586
"1404","SPBC336.14c",2.499
"1405","SPAC16E8.16",2.174
"1406","SPAC4F10.12",1.231
"1407","SPBC1685.02c",0.681
"1408","SPAC1D4.14",5.242
"1409","SPBC2G2.17c",1.528
"1410","SPBC83.15",1.765
"1411","SPAC11D3.17",3.57
"1412","SPAPB1E7.07",7.495
"1413","SPCC830.05c",3.966
"1414","SPBC17A3.10",1.541
"1415","SPNCRNA.780",0.427
"1416","SPAC13A11.03",1.557
"1417","SPAC1A6.08c",1.264
"1418","SPBC582.04c",2.178
"1419","SPNCRNA.1129",1.149
"1420","SPBC16H5.08c",2.112
"1421","SPCC736.02",1.192
"1422","SPBC14F5.12c",1.906
"1423","SPBC14F5.13c",2.109
"1424","SPBC27.06c",0.864
"1425","SPBP8B7.18c",2.19
"1426","SPAC19G12.01c",2.805
"1427","SPAC1B3.15c",3.121
"1428","SPAC1B3.16c",2.336
"1429","SPBC211.07c",1.42
"1430","SPBP16F5.03c",11.183
"1431","SPBC3B9.04",1.188
"1432","SPBC19C2.08",1.145
"1433","SPCC550.03c",3.728
"1434","SPBC16H5.12c",3.091
"1435","SPAC139.02c",1.591
"1436","SPCC1393.06c",1.638
"1437","SPAC23G3.01",3.795
"1438","SPAC32A11.02c",3.037
"1439","SPNCRNA.246",0.92
"1440","SPNCRNA.985",0.821
"1441","SPAC3G9.07c",1.835
"1442","SPAC27F1.02c",1.039
"1443","SPBC16H5.05c",2.614
"1444","SPAC25B8.17",1.194
"1445","SPAC4A8.08c",3.536
"1446","SPNCRNA.762",3.185
"1447","SPAPB21F2.02",5.593
"1448","SPAC4G9.09c",3.004
"1449","SPAC688.14",1.961
"1450","SPBC1718.02",1.851
"1451","SPAC186.05c",1.471
"1452","SPAC8E11.02c",1.496
"1453","SPAC4F8.05c",0.722
"1454","SPAC4F8.04",1.295
"1455","SPCC830.10",1.532
"1456","SPBC119.12",1.657
"1457","SPBC20F10.09",0.854
"1458","SPBC14C8.04",1.872
"1459","SPMITTRNAALA.01",0.073
"1460","SPAC22A12.12c",1.217
"1461","SPNCRNA.1382",1.245
"1462","SPBC1711.09c",1.184
"1463","SPAC29A4.02c",1.771
"1464","SPCC550.11",3.82
"1465","SPAC4F10.09c",2.925
"1466","SPBC4B4.06",2.046
"1467","SPNCRNA.1128",0.815
"1468","SPBC29A3.09c",2.3
"1469","SPBC1773.06c",1.501
"1470","SPBC12C2.02c",4.593
"1471","SPAC1A6.10",1.626
"1472","SPBC839.02",1.816
"1473","SPCC13B11.04c",2.48
"1474","SPBC2A9.10",1.559
"1475","SPAC140.02",2.044
"1476","SPBC3F6.05",4
"1477","SPAC222.18",0.922
"1478","SPCC1322.07c",3.064
"1479","SPAC31A2.03",1.13
"1480","SPAC13G6.10c",2.126
"1481","SPNCRNA.781",1.513
"1482","SPAC19B12.04",0.644
"1483","SPAC5H10.03",3.464
"1484","SPBC3E7.09",2.172
"1485","SPCC1682.02c",3.883
"1486","SPAC3G9.14",3.539
"1487","SPAC17G6.04c",3.46
"1488","SPBC8D2.04",0.778
"1489","SPBC530.10c",1.838
"1490","SPBC1685.17",0.711
"1491","SPNCRNA.1367",2.339
"1492","SPAPB17E12.14c",3.791
"1493","SPAC23C4.11",0.677
"1494","SPCC1393.03",0.747
"1495","SPBC8D2.16c",2.875
"1496","SPAC23E2.02",4.236
"1497","SPAC56E4.03",1.989
"1498","SPBC28F2.03",0.863
"1499","SPBC4F6.13c",2.538
"1500","SPCC1795.05c",1.315
"1501","SPBC26H8.04c",5.015
"1502","SPAC4H3.01",2.78
"1503","SPBC26H8.08c",1.611
"1504","SPNCRNA.999",0.927
"1505","SPNCRNA.1678",2.007
"1506","SPBC17A3.07",1.903
"1507","SPAC4G9.14",1.645
"1508","SPBC1703.06",2.32
"1509","SPBC19C7.08c",2.215
"1510","SPAC24H6.04",2.802
"1511","SPAC20H4.07",2.017
"1512","SPNCRNA.1503",3.27
"1513","SPAP8A3.10",0.705
"1514","SPBPB21E7.04c",1.134
"1515","SPNCRNA.728",3.207
"1516","SPAC1952.03",1.486
"1517","SPBC354.02c",2.289
"1518","SPMITTRNALEU.02",0.074
"1519","SPCC18B5.08c",3.682
"1520","SPAC23H4.06",2.077
"1521","SPAC23H3.05c",1.598
"1522","SPCC1682.05c",2.936
"1523","SPNCRNA.1040",0.947
"1524","SPCC1259.07",2
"1525","SPAC4H3.09",0.759
"1526","SPAC11D3.14c",4.547
"1527","SPBC8E4.02c",1.618
"1528","SPBC19C2.02",1.574
"1529","SPBC19F5.03",2.291
"1530","SPBC1685.16",1.189
"1531","SPBC1685.04",1.81
"1532","SPBC16G5.13",1.464
"1533","SPAC22H10.08",1.952
"1534","SPAC13C5.06c",1.078
"1535","SPAC1002.18",1.495
"1536","SPMITTRNALYS.01",0.073
"1537","SPBC26H8.07c",1.946
"1538","SPAC9E9.06c",1.977
"1539","SPNCRNA.1118",2.28
"1540","SPAC30D11.14c",1.993
"1541","SPCC4G3.17",1.214
"1542","SPBC21B10.02",0.751
"1543","SPBC21C3.06",0.829
"1544","SPCC576.12c",1.991
"1545","SPSNORNA.04",0.085
"1546","SPBC21C3.13",0.918
"1547","SPAC19B12.02c",2.22
"1548","SPBC16H5.02",3.349
"1549","SPAC23A1.11",0.856
"1550","SPNCRNA.301",0.91
"1551","SPBC800.04c",0.52
"1552","SPCC188.04c",4.268
"1553","SPAC22A12.14c",1.53
"1554","SPCC1259.08",2.401
"1555","SPAC23H4.01c",3.389
"1556","SPAC29E6.06c",2.433
"1557","SPNCRNA.1417",2.191
"1558","SPBC16E9.03c",1.445
"1559","SPBC16E9.06c",4.469
"1560","SPCC613.05c",0.809
"1561","SPCC285.13c",2.506
"1562","SPAC1952.04c",1.046
"1563","SPBC1E8.03c",2.523
"1564","SPNCRNA.1474",1.077
"1565","SPAC20H4.08",1.295
"1566","SPCC5E4.04",6.232
"1567","SPAC29E6.05c",1.659
"1568","SPAC31G5.15",3.642
"1569","SPNCRNA.102",0.463
"1570","SPSNORNA.53",0.084
"1571","SPCC895.04c",1.658
"1572","SPAC26F1.10c",1.887
"1573","SPAC4G9.20c",1.815
"1574","SPBC3B9.22c",1.431
"1575","SPNCRNA.1041",3.153
"1576","SPNCRNA.1594",1.288
"1577","SPAC144.13c",3.538
"1578","SPCC757.05c",1.771
"1579","SPAC1A6.02",1.568
"1580","SPCC1259.09c",1.924
"1581","SPAC22F8.11",4.062
"1582","SPAC13G6.07c",1.37
"1583","SPBC29A10.17",2.122
"1584","SPBC17G9.08c",3.3
"1585","SPAP8A3.11c",1.524
"1586","SPAC2F3.06c",3.642
"1587","SPAC24H6.12c",1.914
"1588","SPNCRNA.645",0.946
"1589","SPBTRNAASN.04",0.074
"1590","SPBC1861.01c",3.139
"1591","SPAC1952.12c",1.286
"1592","SPCC330.03c",1.058
"1593","SPBC11B10.01",3.442
"1594","SPBC902.05c",1.939
"1595","SPAC2G11.09",2.907
"1596","SPNCRNA.1081",1.062
"1597","SPCC663.08c",1.12
"1598","SPBC1711.17",3.826
"1599","SPAC1783.01",3.632
"1600","SPAC4F10.13c",3.361
"1601","SPCC1235.07",1.535
"1602","SPCC622.04",1.601
"1603","SPAP7G5.05",0.864
"1604","SPBC1604.01",2.849
"1605","SPAC11E3.10",1.287
"1606","SPCC338.11c",1.21
"1607","SPBC337.11",1.466
"1608","SPBC1706.03",3.036
"1609","SPBC19C2.12",0.988
"1610","SPAC3G9.02",0.739
